rule_id,dimension,category,scope,applies_to,trigger,requirement,pass_condition,fail_condition,default_severity,evidence_basis,source_id,solution_pattern,validation_method
ACC-0015,accessibility,semantic-structure,,client-rendered pages,,Rendered DOM preserves semantic structure,"Rendering does not remove, duplicate, hide, or reorder essential headings, landmarks, controls, names, states, and content relationships.","Users, assistive technologies, and crawlers may receive inconsistent structures or interaction states.",Medium,Standard,SRC-CHROME-A11Y-REF|SRC-HTML-AAM,"Correct templates, hydration, CSS ordering, or component state; retest the rendered DOM and full accessibility tree.","Compare initial HTML, rendered DOM, full accessibility tree, and responsive source order"
ACC-0016,accessibility,accessibility-tree,,"landmarks, controls, images, widgets, and structural elements",,Computed role matches intended purpose,The browser-computed role matches the element purpose and expected interaction.,Native or ARIA semantics expose the wrong object type.,High,Standard,SRC-HTML-AAM|SRC-CORE-AAM,Use the correct native element or remove the conflicting role; recheck the computed node.,Full accessibility-tree and computed-role inspection
ACC-0017,accessibility,accessibility-tree,,"controls, landmarks, images, dialogs, frames, and form fields",,Accessible name and description resolve correctly,"Required objects have accurate, non-empty, non-conflicting names; the computed name contains the visible control wording where a visible label exists.","A name or description is absent, duplicated, misleading, or disconnected from the visible label or purpose.",High,Standard,SRC-ACCNAME|SRC-HTML-AAM,"Repair label, alt, aria-labelledby, aria-label, aria-describedby, or host-language naming relationships; verify computed output.",Computed name and description inspection plus visible-label comparison
ACC-0018,accessibility,accessibility-tree,,"hidden, collapsed, off-canvas, inactive, and decorative content",,Hidden and ignored-node exposure is intentional,Hidden or inactive content is excluded as intended; visible meaningful content remains exposed; excluded subtrees contain no focusable descendants.,"Meaningful content is ignored, or a focusable object remains inside an excluded subtree.",High,Standard,SRC-MDN-ARIA-HIDDEN|SRC-MDN-INERT|SRC-CHROME-A11Y-REF,"Repair hidden, inert, aria-hidden, CSS visibility, or focus handling and inspect the ignored-node reason.","Compare rendered visibility, focusability, DOM state, and accessibility-tree exposure"
ACC-0019,accessibility,accessibility-tree,,"accordions, tabs, menus, dialogs, carousels, forms, and custom widgets",,Dynamic states remain synchronized,"Expanded, selected, checked, pressed, current, invalid, busy, disabled, and modal states match the visible interface before and after interaction.",The visual state changes without the corresponding native or ARIA state update.,High,Standard,SRC-CORE-AAM|SRC-WAI-ARIA|SRC-CHROME-AXTREE,Update the native state or correct ARIA property during the same interaction; retest every state transition.,Interact with the component and compare visual state with computed accessibility state
ACC-0020,accessibility,accessibility-tree,,interactive controls,,"Focus, keyboard behavior, and exposed action agree","Role, focusability, keyboard command, state, and resulting action follow the native element or documented widget pattern.","An element claims an interactive role without matching focus or keyboard behavior, or navigation and action semantics are confused.",High,Standard,SRC-WAI-ARIA|SRC-CORE-AAM|SRC-WAI-EASY-CHECKS,Use a native link for navigation and a native button for actions; implement the complete keyboard pattern only when a custom widget is unavoidable.,"Computed role inspection plus Tab, Enter, Space, arrow-key, and Escape testing where relevant"
ACC-0021,accessibility,accessibility-tree,,"grids, split layouts, responsive sections, and reordered components",,"DOM, visual, focus, and accessibility order remain logical",Reading and focus sequences remain meaningful and equivalent enough to preserve relationships at each tested viewport.,"CSS or JavaScript reordering creates conflicting visual, reading, or focus sequences.",Medium,Standard,SRC-CHROME-A11Y-REF|SRC-HTML-AAM,Correct source order first and use layout CSS without changing the meaningful sequence.,"Compare DOM order, visual order, keyboard focus order, and full accessibility-tree order at each relevant breakpoint"
ACC-0022,accessibility,accessibility-tree,,page-level validation and key user journeys,,Critical paths receive manual accessibility verification,"Critical navigation, forms, disclosures, dialogs, and conversion actions work beyond static markup and automated checks.","Approval relies only on source markup, a crawler, Lighthouse, or the DevTools tree.",Medium,Standard,SRC-WAI-EVALUATION|SRC-CHROME-A11Y-REF,Complete keyboard testing and a relevant browser and assistive-technology spot check; record the environment and result.,"DevTools tree review, keyboard test, and selected assistive-technology spot check"
ACC-0023,accessibility,Document,Global,,Every HTML page,Declare the document language,The html element has the correct lang value,Lang is missing or incorrect,Medium,Standard,SRC-VS-ENGINE,Set the correct BCP 47 language tag,Inspect source and accessibility language
ACC-0024,accessibility,Document,Global,,Every indexable page,Provide a unique descriptive title,The title identifies the page and distinguishes it from sibling pages,Title is missing duplicated or generic,Medium,Official guidance,SRC-VS-ENGINE,Write a page-specific title from the visible purpose,Compare title across template cohort
ACC-0025,completeness,Indexing,Global,,Canonical or robots directives present,Keep indexing directives internally consistent,Canonical robots headers and visible page intent do not conflict,Directives conflict or target an unintended URL,High,Observed,SRC-VS-ENGINE,Correct the conflicting directive and chosen canonical,Inspect response headers and source
ACC-0026,completeness,Rendering,Global,,JavaScript affects primary content,Keep primary content recoverable after rendering,Primary task content appears reliably in the rendered DOM,Hydration failure or blocked resources remove primary content,Critical,Interpretation,SRC-VS-ENGINE,Server render or repair deterministic rendering,Compare source rendered DOM and JS error state
ACC-0028,accessibility,Landmarks,Global,,Site header present,Represent the site header separately,Header content is identifiable and outside main,Shared header is mixed into primary content,Medium,Standard,SRC-VS-ENGINE,Use a scoped header outside main,Inspect landmark containment
ACC-0029,accessibility,Landmarks,Global,,Site footer present,Represent the site footer separately,Footer content is identifiable and outside main,Footer interrupts or becomes part of primary content,Medium,Standard,SRC-VS-ENGINE,Use a body-level footer outside main,Inspect landmark containment
ACC-0032,accessibility,Navigation,Global,,Keyboard users must bypass repeated content,Provide a working skip route,Skip link becomes visible on focus and moves to main content,Skip control is absent broken or hidden from keyboard users,High,Standard,SRC-VS-ENGINE,Add a focus-visible skip link to main,Keyboard test from document start
ACC-0033,completeness,Breadcrumbs,Component,,Breadcrumbs present,Represent hierarchy truthfully,Breadcrumb order current page and destinations match the site hierarchy,Path is false incomplete or inconsistent with schema,Medium,Observed,SRC-VS-ENGINE,Correct visible and structured breadcrumb data,Compare links visible path and schema
ACC-0034,accessibility,Headings,Global,,Every page,Provide a page-level heading,One H1 identifies the primary page subject,H1 is missing duplicated without reason or unrelated to purpose,High,Standard,SRC-VS-ENGINE,Create one descriptive H1 inside main,Inspect heading outline and visible page
ACC-0037,accessibility,Reading order,Global,,Every page,Keep DOM visual and accessibility narratives compatible,Primary task and supporting content appear in a compatible order across representations,CSS reordering or hidden content changes the narrative,High,Interpretation,SRC-VS-ENGINE,Correct DOM order and use CSS without semantic reordering,Compare desktop mobile DOM and accessibility order
ACC-0038,completeness,Primary task,Global,,Every page,State and support the dominant user task,Reviewers can identify the same primary purpose and region,Primary purpose is ambiguous or displaced by boilerplate,High,Interpretation,SRC-VS-ENGINE,Clarify the opening task and primary region,Run human DOM reader and accessibility review
ACC-0039,completeness,Primary task,Global,,A direct answer or primary function is expected,Place the task before avoidable secondary friction,The answer or function appears at the earliest logical point,Long unrelated introductions navigation or promotion precedes it,Medium,Interpretation,SRC-VS-ENGINE,Move or rewrite intervening secondary content,Measure discovery in DOM and user task test
ACC-0040,accessibility,Links,Global,,Links present,Use links for navigation with meaningful purpose,Destination and anchor purpose are understandable in context,Links are empty misleading or impersonate actions,Medium,Standard,SRC-VS-ENGINE,Rewrite anchor content and correct destination semantics,Keyboard and destination test
ACC-0041,accessibility,Buttons,Component,,Action control present,Use an operable named action control,Button has an accessible name and expected keyboard behavior,Clickable non-control or unnamed action is used,High,Standard,SRC-VS-ENGINE,Use button and expose its name and state,Keyboard and accessibility tree test
ACC-0043,accessibility,ARIA,Component,,Control uses aria-label or aria-labelledby,Keep accessible and visible names aligned,Accessible name describes the same function as visible text,Accessible name hides or contradicts visible purpose,High,Standard,SRC-VS-ENGINE,Use visible label or matching labelledby reference,Compare visible text and computed name
ACC-0044,accessibility,Forms,Component,,Form controls present,Associate every input with a label,Each input has a programmatically associated meaningful label,Input relies on placeholder or proximity alone,High,Standard,SRC-VS-ENGINE,Use label for/id or native grouping,Inspect accessible names and click labels
ACC-0045,accessibility,Forms,Component,,Inputs require format unit or constraints,Expose requirements before submission,Units formats and required state are understandable,Constraints appear only after failure or remain implicit,Medium,Standard,SRC-VS-ENGINE,Add visible instructions and descriptions,Complete task without prior knowledge
ACC-0046,accessibility,Forms,Component,,Validation errors possible,Identify errors and recovery,Errors name the field problem and correction and receive suitable focus/announcement,Errors are color-only generic or inaccessible,High,Standard,SRC-VS-ENGINE,Link specific messages and manage focus/live state,Submit invalid data with keyboard and screen reader
ACC-0047,accessibility,Forms,Component,,Submission or calculation changes state,Expose success and result state,Outcome is visible understandable and programmatically available,State changes silently or ambiguously,High,Standard,SRC-VS-ENGINE,Add result heading status/live behavior and focus strategy,Trigger success and failure states
ACC-0048,accessibility,Images,Component,,Informative image present,Provide purpose-appropriate text alternative,Alt conveys the image's relevant purpose,Alt is missing generic filename or unrelated,Medium,Standard,SRC-VS-ENGINE,Write concise contextual alt text,Inspect image with and without rendering
ACC-0049,accessibility,Images,Component,,Decorative image present,Remove decorative images from the accessibility narrative,Decorative image has empty alt or CSS treatment,Decorative image receives redundant spoken text,Low,Standard,SRC-VS-ENGINE,Use empty alt and omit unnecessary ARIA,Inspect accessibility tree
ACC-0051,accessibility,Figures,Component,,Image contains decision-critical text or numbers,Provide critical information as native synchronized content,Values remain available outside pixels and agree everywhere,Image is the only source or conflicts with prose/table,High,Interpretation,SRC-VS-ENGINE,Reproduce data in nearby text or table and synchronize it,Compare image prose table and schema
ACC-0052,accessibility,Tables,Component,,Relational data table present,Preserve row and column associations,Table has useful caption and header relationships,Div grid or malformed table loses associations,High,Standard,SRC-VS-ENGINE,Use native table caption th and scope/header relations,Inspect with CSS off and accessibility tree
ACC-0053,accessibility,Lists,Component,,Peer or sequential items present,Preserve list relationships,Repeated items use an appropriate list structure,Visual bullets or divs lose list semantics,Low,Standard,SRC-VS-ENGINE,Use ul ol or dl according to meaning,Inspect accessibility tree
ACC-0054,completeness,Boilerplate,Global,,Shared controls ads or promotions present,Keep boilerplate outside prose boundaries,Secondary regions remain coherent siblings of primary prose,Controls or promotions split sentences or pollute extraction,Medium,Interpretation,SRC-VS-ENGINE,Move the region to a labelled sibling container,Compare DOM and flattened extraction
ACC-0055,completeness,Related content,Component,,Related links present,Label related content as secondary,Region purpose and destination relationship are clear,Related content appears as primary prose or unexplained links,Low,Interpretation,SRC-VS-ENGINE,Use a labelled related-content region,Inspect reading and extraction order
ACC-0056,completeness,Evidence,Global,,Material factual or quantitative claims present,Record adequate claim context and source,Claim includes needed unit population date method and source,Claim lacks qualifiers or traceable evidence,High,Research,SRC-VS-ENGINE,Add supplied evidence and qualifiers or remove unsupported precision,Trace each claim to supplied source
ACC-0057,completeness,Consistency,Global,,A fact appears in multiple representations,Keep repeated facts synchronized,Prose UI media tables and schema agree,Values names dates units or availability conflict,High,Observed,SRC-VS-ENGINE,Choose the supported value and update every representation,Cross-representation comparison
ACC-0058,accessibility,Structured data,Component,,Structured data present,Keep markup consistent with visible content,Entities properties and values are visible and supported,Markup adds hidden unsupported or conflicting claims,High,Official guidance,SRC-VS-ENGINE,Remove unsupported properties and align remaining markup,Validate syntax then compare with visible page
ACC-0059,accessibility,Responsive,Global,,Responsive layouts exist,Preserve task access and meaning across breakpoints,Primary content controls and relationships work on mobile and desktop,Content hides overlaps reorders harmfully or becomes unusable,High,Observed,SRC-VS-ENGINE,Repair responsive layout without semantic reordering,Test representative mobile and desktop viewports
ACC-0060,accessibility,Dynamic content,Component,,Lazy or dynamically inserted primary content exists,Insert content into the correct semantic region,Dynamic nodes retain expected containment labels and order,Content moves into unrelated containers or never appears,High,Interpretation,SRC-VS-ENGINE,Repair insertion target loading fallback and state,Test slow failure and completed states
ACC-0061,accessibility,Performance,Global,,Performance evidence is supplied,Report performance as a measured user input,Metric is named with lab/field context and page state,Generic page size or DOM count is treated as a ranking score,Medium,Official guidance,SRC-VS-ENGINE,Report qualified metrics and fix measured bottleneck,Repeat named measurement under same conditions
ACC-0062,completeness,Article,Page type,,Article or guide selected,Use one coherent article body,Header answer sections evidence and author context form one article,Article content is fragmented across unrelated regions,Medium,Interpretation,SRC-VS-ENGINE,Group article-specific content in article within main,Inspect containment and outline
ACC-0063,completeness,Article,Page type,,Question requires a direct answer,Provide a concise supported answer before deep detail,Opening resolves the question with necessary qualification,Opening delays or evades the answer,Medium,Interpretation,SRC-VS-ENGINE,Add an evidence-aligned answer summary,User discovery test
ACC-0064,completeness,Service,Page type,,Service page selected,Identify provider service audience and scope,Opening establishes the supported service relationship,Generic copy leaves the offering unclear,High,Interpretation,SRC-VS-ENGINE,Rewrite the proposition with supplied facts,Review extracted opening without branding visuals
ACC-0065,completeness,Service,Page type,,Conversion action present,Keep CTA truthful and connected to the service,Action states what happens next and does not replace evidence,CTA is deceptive unsupported or dominates before scope,High,Observed,SRC-VS-ENGINE,Correct action label flow and supporting context,Complete contact path and inspect confirmation
ACC-0066,completeness,Local service,Page type,,Location targeting is material,Support the provider-location relationship,Visible business facts substantiate the claimed area,Unsupported office service area proximity or local superlative is asserted,High,Observed,SRC-VS-ENGINE,Use verified NAP/service-area evidence or remove claim,Compare supplied business records and page
ACC-0067,completeness,Product,Page type,,Product page selected,Expose decision and offer attributes,Product variant price unit availability and policies are understandable,Material offer data is absent or contradictory,High,Interpretation,SRC-VS-ENGINE,Add supported offer and selection data,Complete a variant selection task
ACC-0068,completeness,Category,Page type,,Category or listing selected,Make collection scope and items recoverable,Category rule controls result state and item attributes are clear,Grid lacks scope labels state or recoverable items,High,Interpretation,SRC-VS-ENGINE,Add category context semantic controls and item structure,Test filter sort empty and pagination states
ACC-0069,completeness,Comparison,Page type,,Comparison page selected,Compare alternatives on consistent disclosed dimensions,Criteria evidence date and trade-offs apply consistently,Alternatives use selective or changing criteria,High,Research,SRC-VS-ENGINE,Define the method and normalize comparison fields,Trace each conclusion to criteria and evidence
ACC-0070,completeness,Tool,Page type,,Tool or calculator selected,Provide a truthful functioning primary tool,Valid inputs produce an explained result with units and assumptions,Widget is decorative broken or unexplained,Critical,Observed,SRC-VS-ENGINE,Repair computation labels output method and error states,Test valid boundary and invalid inputs
ACC-0071,completeness,Directory,Page type,,Directory selected,Disclose inclusion ordering and verification context,Users can understand why entries appear and how current they are,Ranking or inclusion method is hidden or misleading,High,Research,SRC-VS-ENGINE,Publish method date verification and commercial disclosure,Trace entries and ordering to method
ACC-0072,completeness,Homepage,Page type,,Homepage selected,Establish entity identity and prioritized tasks,Entity audience offerings evidence and routes are clear,Homepage lacks identity or gives all tasks equal weight,High,Interpretation,SRC-VS-ENGINE,Clarify proposition and task hierarchy,Five-second purpose and navigation test
ACC-0073,completeness,Contact,Page type,,Contact or booking selected,State channels requirements consent and expectations,User understands submission and response or booking status,Request is represented as confirmed booking or lacks outcome,High,Observed,SRC-VS-ENGINE,Correct form copy consent confirmation and availability logic,Submit and verify every outcome state
ACC-0074,completeness,FAQ,Page type,,FAQ content present,Keep questions visible distinct and directly answered,Each question has a matching visible answer,Questions duplicate remain unanswered or schema differs,Medium,Interpretation,SRC-VS-ENGINE,Rewrite visible Q&A and synchronize applicable markup,Compare rendered Q&A and schema
ACC-0075,completeness,Review or forum,Page type,,User contributions or reviews present,Expose source authorship date and moderation context,Contribution provenance and status are understandable,Curated or generated text impersonates independent users,High,Observed,SRC-VS-ENGINE,Disclose origin verification moderation and relationships,Inspect record metadata and disclosure
ACC-0076,completeness,Reporting,Global,,Required evidence is unavailable,Use Not Testable rather than guessing,Missing evidence and resulting limit are recorded,Auditor invents a result or silently skips the rule,High,Research,SRC-VS-ENGINE,Request the missing representation or retain Not Testable,Review coverage against rule triggers
ACC-0077,completeness,Reporting,Global,,Search impact or hidden mechanism is discussed,Separate observed inputs from causal SEO claims,Language matches the available evidence,A hidden mechanism or ranking result is presented as observed,High,Research,SRC-VS-ENGINE,Rewrite as a bounded hypothesis requiring controlled testing,Review every search-impact statement
ACC-0078,accessibility,PERF-DOM,page,,page rendered,Total DOM node count within budget,dom_node_count <= 1500 and max_depth <= 32 and max_children <= 60,dom_node_count > 1500 (fail) or > 800 (warn); depth > 32; any parent > 60 children,Medium,Standard,SRC-LIGHTHOUSE,Flatten wrapper divs; virtualize long lists; split oversized templates,Count nodes in rendered DOM (script); compare to Lighthouse thresholds
ACC-0079,accessibility,PERF-DOM,page,,page rendered,No excessive DOM depth from wrapper nesting,max nesting depth <= 32,max_depth > 32,Low,Standard,SRC-LIGHTHOUSE,Remove redundant nesting; use CSS layout instead of wrapper chains,Measure max element depth (script)
ACC-0080,accessibility,ARIA,element,[role] and aria-* attributes,element carries an explicit role= or aria-*,Only ARIA roles/attributes permitted by html-aria for that element are used,every explicit role and aria-* is allowed for the element per data/allowed_aria.csv,a prohibited role or prohibited aria-* is present on the element,High,Standard,SRC-HTML-ARIA,remove/replace the disallowed role or attribute; rely on the element's implicit semantics,cross-check element+context+role+aria-* against allowed_aria.csv
