mapping_id,tag_or_pattern,html_condition,computed_role_or_exposure,accessible_name_source,accessible_description_source,state_or_properties,required_relationships,common_failure,test_method,source_id
AXM-014,summary,First summary child of details,button or disclosure control,"Text content, aria-labelledby, or aria-label where supported",aria-describedby,expanded or collapsed,Controls its parent details element,Empty summary or state fails to update,"Inspect role, name, expanded state, keyboard operation",SRC-HTML-AAM|SRC-CORE-AAM|SRC-ACCNAME
AXM-015,dialog,Native dialog element opened through show or showModal,dialog,aria-labelledby pointing to visible heading or aria-label,aria-describedby pointing to supporting text,modal when shown modally; focus state,Dialog needs an accessible name and correct focus management,"Unnamed dialog, focus escapes, or background remains interactive","Open dialog; inspect role, name, modal state, focus entry and return",SRC-HTML-AAM|SRC-CORE-AAM|SRC-WAI-ARIA
AXM-016,h1-h6,Native heading,heading,Text content or author naming where supported,aria-describedby where supplied,level 1 through 6,Heading level must match content hierarchy,Styled text used instead of a heading or empty accessible name,"Inspect computed role, level, name, and heading order",SRC-HTML-AAM|SRC-ACCNAME
AXM-017,p,Native paragraph,paragraph or text grouping depending platform mapping,Not generally named,aria-describedby where supplied,None,Use for coherent paragraph text,Paragraph element used as a container for flow-content blocks,Inspect reading units and DOM validity,SRC-HTML-AAM|SRC-ACCNAME
AXM-018,ul,Native unordered list,list,Not generally named unless author naming is supported and justified,aria-describedby where supplied,Item count through children,Direct children should be li,CSS bullets on div rows instead of list semantics,Inspect list role and child listitems,SRC-HTML-AAM|SRC-ACCNAME
AXM-019,ol,Native ordered list,list,Not generally named unless author naming is supported and justified,aria-describedby where supplied,Ordered position and item count,Direct children should be li,Sequence shown visually without ordered-list semantics,"Inspect list role, item count, and position",SRC-HTML-AAM|SRC-ACCNAME
AXM-020,li,"Direct child of ul, ol, or menu",listitem,Text content does not create a separate control name unless the item contains one,aria-describedby where supplied,position in set and set size where exposed,Must belong to a list container,Orphan li or div rows used as fake items,Inspect listitem role and parent list,SRC-HTML-AAM|SRC-ACCNAME
AXM-021,dl,Association list,list or structured term-description content depending platform mapping,Not generally named,aria-describedby where supplied,None,Use dt and dd groups,Two-column layout treated as a definition list without term-description meaning,Inspect relationships and reading order,SRC-HTML-AAM|SRC-ACCNAME
AXM-022,dt,Term inside dl,term where supported,Text content,aria-describedby where supplied,None,Must participate in a dl term-description group,Standalone dt or visual heading used as term,Inspect role and associated dd content,SRC-HTML-AAM|SRC-ACCNAME
AXM-023,dd,Description inside dl,definition where supported,Not generally named,Text content,None,Must participate in a dl term-description group,Standalone dd or unrelated content grouped under a term,Inspect role and association with dt,SRC-HTML-AAM|SRC-ACCNAME
AXM-024,blockquote,Block quotation,blockquote where supported,Not generally named,cite is not normally exposed as a human-readable description; visible attribution remains required,None,Visible attribution should remain outside or within a footer as appropriate,Marketing copy marked as quotation or source available only in cite attribute,"Inspect role, quote content, and visible attribution",SRC-HTML-AAM|SRC-ACCNAME
AXM-025,q,Inline quotation,No dependable standalone role; quotation punctuation and text remain exposed,Text content,None,None,"Use for a short quotation, not decoration",Typed quotation marks used where quotation semantics matter,Inspect spoken reading with selected assistive technology,SRC-HTML-AAM|SRC-ACCNAME
AXM-026,cite,Title of a creative work,No dependable standalone role; text remains exposed,Text content,None,None,"Use for work titles, not person names",Person attribution marked as cite without a work title,Inspect text and context,SRC-HTML-AAM|SRC-ACCNAME
AXM-027,em,Stress emphasis,emphasis where supported; text otherwise remains exposed,Text content,None,Nested emphasis level where supported,Use only when stress changes meaning,Italic styling used as emphasis or emphasis used only for styling,Inspect semantic role where exposed and read in context,SRC-HTML-AAM|SRC-ACCNAME
AXM-028,strong,Strong importance,strong where supported; text otherwise remains exposed,Text content,None,None,"Use for importance, seriousness, or urgency",Bold styling used as importance or strong used only for styling,Inspect semantic role where exposed and read in context,SRC-HTML-AAM|SRC-ACCNAME
AXM-029,mark,Contextual relevance highlight,mark where supported; text otherwise remains exposed,Text content,None,None,Do not rely on color alone,Decorative highlighting or keyword stuffing,Inspect role where exposed and contrast cue,SRC-HTML-AAM|SRC-ACCNAME
AXM-030,time,"Machine-readable date, time, or duration",time where supported; text remains exposed,Text content,None,datetime value where valid,datetime must match a valid syntax and visible meaning,Invalid or contradictory datetime value,Inspect DOM value and exposed text,SRC-HTML-AAM|SRC-ACCNAME
AXM-031,data,Human label paired with machine value,No dependable standalone role; text remains exposed,Text content,None,value attribute,Use time for dates and times,Assuming data replaces structured data or exposes a special AT role,Inspect text and value in DOM,SRC-HTML-AAM|SRC-ACCNAME
AXM-032,abbr,Abbreviation,No dependable standalone role; text remains exposed,Text content; title is an unreliable sole expansion mechanism,"title where platform exposes it, but not as the only essential explanation",None,Provide visible expansion when needed,Essential expansion available only on hover,"Inspect text, title, and screen-reader behavior",SRC-HTML-AAM|SRC-ACCNAME
AXM-033,dfn,Defining instance of a term,term where supported; text otherwise remains exposed,Text content,"Definition in surrounding paragraph, dt/dd group, or section",None,Nearest context must supply the definition,Styled first mention with no actual definition,Inspect role where exposed and nearby definition,SRC-HTML-AAM|SRC-ACCNAME
AXM-034,code,Computer code fragment,code where supported; text otherwise remains exposed,Text content,None,None,Pair pre with code for blocks,Monospace styling without code semantics or unreadable punctuation,Inspect role where exposed and spoken output,SRC-HTML-AAM|SRC-ACCNAME
AXM-035,pre,Whitespace-significant text,No dedicated interactive role; preformatted text remains exposed,Text content,None,Whitespace preservation,Pair with code for source code,CSS layout text placed in pre or line breaks carry unclear meaning,Inspect reading sequence and whitespace dependence,SRC-HTML-AAM|SRC-ACCNAME
AXM-036,button,Native button,button,"Text content, aria-labelledby, or aria-label according to accessible-name precedence",aria-describedby or aria-description,"disabled, pressed, expanded, haspopup, controls where supplied",Accessible name and any controlled target/state must remain accurate,"Empty name, visible label omitted from computed name, or wrong dynamic state","Inspect role, name, description, state, focus, Enter/Space behavior",SRC-HTML-AAM|SRC-ACCNAME|SRC-CORE-AAM
AXM-037,a[href],Anchor with valid href,link,"Text content, image alt, aria-labelledby, or aria-label according to accessible-name precedence",aria-describedby or aria-description,"current, expanded, haspopup where supplied",Destination and accessible name should describe navigation purpose,Anchor styled as button for an in-page action or repeated generic names such as Read More,"Inspect role, name, href, focus, and activation",SRC-HTML-AAM|SRC-ACCNAME
AXM-038,a:not([href]),Anchor without href,generic or text; not a hyperlink,Text content,aria-describedby where supplied,None,Use button for actions or add href for navigation,Visually clickable anchor without link semantics or keyboard behavior,"Inspect role, focusability, and click behavior",SRC-HTML-AAM|SRC-ACCNAME
AXM-039,label,Label associated with a form control,No standalone control role; contributes accessible name to associated control,Visible label text,Supporting text may be referenced by aria-describedby on the control,None,for must match control id or label must wrap the control,Visual text not programmatically associated with the control,Inspect the control computed name and label relation,SRC-HTML-AAM|SRC-ACCNAME
AXM-040,form,Form has an accessible name,form landmark,aria-labelledby or aria-label,aria-describedby where supplied,invalid or busy states where supplied,Do not nest forms; label controls,Several unnamed forms cannot be distinguished as landmarks,"Inspect form role, name, controls, and submission behavior",SRC-HTML-AAM|SRC-ACCNAME
AXM-041,form,Form has no accessible name,No form landmark exposure in common mappings; controls remain exposed,None,None,None,Add a name only when landmark navigation benefits from it,Assuming every form automatically creates a named landmark,Inspect full tree and computed role,SRC-HTML-AAM|SRC-ACCNAME
AXM-042,img,Non-empty alt or author-provided accessible name,img,"alt, aria-labelledby, or aria-label according to precedence",aria-describedby or aria-description,None,Alt should express the image purpose in context,"Missing, generic, duplicated, or keyword-stuffed alt",Inspect computed role/name and compare with image purpose,SRC-HTML-AAM|SRC-ACCNAME
AXM-043,img,alt is empty and no overriding ARIA name,Excluded or presentational,None,None,None,Use for decorative or redundant images only,Meaningful image removed from the tree or image-only link left unnamed,Inspect ignored status and parent link name,SRC-HTML-AAM|SRC-ACCNAME
AXM-044,table,Data table,table,"caption, aria-labelledby, or aria-label according to mapping",aria-describedby or aria-description,Row and column relationships,Use caption and th/scope or headers/id where needed,"Layout table, missing headers, or table named only through nearby text","Inspect role, name, row/column headers, and navigation",SRC-HTML-AAM|SRC-ACCNAME
AXM-045,"input, select, textarea",Native form controls,Role follows control type,"Associated label, aria-labelledby, aria-label, or type-specific host-language source","aria-describedby, aria-description, and validation message relationships","required, invalid, checked, selected, value, disabled, readonly, expanded where applicable",Control needs a stable accessible name and valid description/error references,Placeholder used as the only label or conflicting naming sources,"Inspect computed role, name, value, state, and validation behavior",SRC-HTML-AAM|SRC-ACCNAME|SRC-CORE-AAM
AXM-046,"[role=""button""]",Custom element with button role,button only at the accessibility layer,"Text content, aria-labelledby, or aria-label",aria-describedby,"pressed, expanded, disabled where supplied","Author must implement focus, Enter, Space, state, and action behavior",Role added without keyboard or focus behavior,"Inspect role, focusability, keyboard operation, and state updates",SRC-WAI-ARIA|SRC-CORE-AAM|SRC-ACCNAME
AXM-047,"[aria-hidden=""true""]",Element and descendants marked aria-hidden,Excluded from accessibility tree,None,None,None,Must not contain focusable or interactive descendants,Visible or focusable content disappears from the tree,"Compare visibility, focus order, and ignored-node reason",SRC-MDN-ARIA-HIDDEN|SRC-WAI-ARIA
AXM-048,[inert],Inactive subtree,Excluded from focus and accessibility interaction while inert,None,None,Inert state,Use for inactive modal background or disabled page regions where appropriate,Inert remains after activation or hides required content,"Inspect focus order and tree before, during, and after state change",SRC-MDN-INERT|SRC-HTML-AAM
AXM-049,"[hidden], display:none, visibility:hidden",Hidden rendering state,Excluded from accessibility tree in normal browser mappings,None,None,Hidden state,State must match visual and interaction intent,Focusable or referenced content hidden unexpectedly,"Inspect CSS, DOM state, focus, and ignored-node reason",SRC-CHROME-A11Y-REF|SRC-HTML-AAM
AXM-050,Read More / Learn More control,Navigates to another resource,link,Visible text plus sufficient destination context; computed name should contain the visible wording,"aria-describedby only for extra support, not replacement of link purpose",current or expanded only where relevant,Use a real href and distinct purpose for repeated controls,"Input, div, span, or generic repeated label used for navigation","Inspect computed role/name, href, links list, focus, and activation",SRC-HTML-AAM|SRC-ACCNAME|SRC-WAI-EASY-CHECKS
AXM-051,Read More / Show More control,Expands content on the current page,button,Visible text or text plus contextual accessible name that contains the visible wording,aria-describedby where needed,aria-expanded and aria-controls when a custom disclosure is used,Target id and expanded state must remain synchronized,Link used for an action or visual state changes without computed state update,"Activate with mouse, Enter, and Space; inspect state and target",SRC-WAI-ARIA|SRC-ACCNAME|SRC-CORE-AAM
