element,context,implicit_role,allowed_roles,prohibited_roles,allowed_aria,prohibited_aria,notes,source_id
label,,(no role),no role,all roles prohibited,global,,associates via for=,SRC-HTML-ARIA
fieldset,,group,"none,presentation,radiogroup",,global,,,SRC-HTML-ARIA
legend,,(no role),no role,all roles prohibited,,,,SRC-HTML-ARIA
input,type=text,textbox,"combobox,searchbox,spinbutton",,aria-*,,,SRC-HTML-ARIA
input,type=checkbox,checkbox,"button,menuitemcheckbox,option,switch",,aria-checked,,,SRC-HTML-ARIA
input,type=radio,radio,menuitemradio,,aria-checked,,,SRC-HTML-ARIA
input,type=search,searchbox / textbox,,,aria-*,,,SRC-HTML-ARIA
input,type=hidden,(no role),no role,all roles prohibited,none,all aria-* prohibited,,SRC-HTML-ARIA
select,single-line,combobox,menu,,aria-*,,listbox when multiple/size>1,SRC-HTML-ARIA
textarea,,textbox,no other role,,aria-*,,,SRC-HTML-ARIA
option,,option,no other role,,aria-selected,,,SRC-HTML-ARIA
img,non-empty alt,image,"any (img,none limited)",,global,,named by alt,SRC-HTML-ARIA
img,"empty alt (alt="""")",presentation,"none,presentation only",any other role,,most aria prohibited,decorative,SRC-HTML-ARIA
figure,,figure,any,,global,,,SRC-HTML-ARIA
figcaption,,(no role),"group,none,presentation",,global,,,SRC-HTML-ARIA
dialog,,dialog,"alertdialog,none",,aria-modal,,,SRC-HTML-ARIA
details,,group,,,aria-*,,,SRC-HTML-ARIA
summary,,(no role),,,,,first child of details,SRC-HTML-ARIA
iframe,,(none),"application,document,img,none,presentation",,aria-*,,name via title=,SRC-HTML-ARIA
svg,,graphics-document / image,"img,graphics-document,graphics-symbol,none,presentation",,aria-*,,name via title/aria-label,SRC-HTML-ARIA
hr,,separator,"none,presentation",,aria-orientation,,,SRC-HTML-ARIA
input,type=email/tel/url,textbox,"combobox,searchbox",,aria-*,,,SRC-HTML-ARIA
input,type=password,(no name from content),no role,,aria-*,,never expose value,SRC-HTML-ARIA
input,type=number,spinbutton,,,aria-valuenow/min/max,,,SRC-HTML-ARIA
input,type=range,slider,,,aria-valuenow/min/max,,,SRC-HTML-ARIA
input,type=submit/reset/button,button,,,aria-*,,,SRC-HTML-ARIA
input,type=file,button,,,aria-*,,,SRC-HTML-ARIA
input,type=date/time/etc,(date/time control),,,aria-*,,,SRC-HTML-ARIA
optgroup,,group,,,aria-*,,,SRC-HTML-ARIA
datalist,,listbox,no other role,,aria-*,,,SRC-HTML-ARIA
output,,status,any,,aria-live,,live region,SRC-HTML-ARIA
progress,,progressbar,,,aria-valuenow/min/max,,,SRC-HTML-ARIA
meter,,meter,,,aria-valuenow/min/max,,,SRC-HTML-ARIA
menu,,list,"directory,group,listbox,menu,menubar,none,presentation,radiogroup,tablist,toolbar,tree",,aria-*,,,SRC-HTML-ARIA
area,with href,link,,,aria-*,,,SRC-HTML-ARIA
picture,,(no role),no role,all roles prohibited,,,,SRC-HTML-ARIA
time,,time,any,,aria-*,,,SRC-HTML-ARIA
abbr,,(no role),any,,aria-*,,,SRC-HTML-ARIA
blockquote,,blockquote,any,,aria-*,,,SRC-HTML-ARIA
pre,,generic,any,,aria-*,,,SRC-HTML-ARIA
code,,code,any,,aria-*,,,SRC-HTML-ARIA
