rule_id,pillar,checklist_ref,requirement,pass_condition,fail_condition,solution_pattern,default_severity,check_type,evidence_basis,source_id
EEAT-013,authorship,c1i4,Author is a recognised entity off-site,"Author is a recognised entity off-site: consistent profiles, guest bylines, talks/podcasts/conferences, quotes in trade media, dev/community or scholarly activity : identical name/role/bio everywhere.",Author exists only on your own site; inconsistent bios across the web.,Authoritativeness of the author is corroborated off-domain.,Medium,llm-judgment,Interpretation,SRC-PATENT-PROMINENT-USERS
EEAT-014,authorship,c1i5,Named experts over brand voice; keep author pages live,"Named subject-matter experts preferred over a generic brand voice; author pages kept live after people leave; at scale, an editorial/author-governance system (bylines, review workflow, credential capture).",Deleting author pages when contributors leave; brand-only voice on expert topics.,Preserve the entity association over time.,Medium,llm-judgment,Interpretation,SRC-PRACTITIONER
EEAT-015,authorship,c1i6,AI-assisted content reviewed & signed off by a named human,"No fake / AI-generated authors; any AI-assisted content is reviewed and signed off by a named, accountable human.",AI-generated bylines with no human behind them; undisclosed AI.,"A named, accountable human must own AI-assisted content.",High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-016,authorship,c1i9,Author's writing style stays consistent across their own byline,Writing style stays recognisably consistent under one byline over time. (a rough check against uncredited ghostwriting or AI swaps : voice drift under an established name is often the only visible tell.),Swapping in ghostwriters or AI output under an established author's name without disclosure : style drift is often the only visible tell.,Inconsistent voice under one name is a quiet trust leak even when every other box is checked.,Medium,llm-judgment,Interpretation,SRC-GUBUR
EEAT-017,authorship,c1i7,No fabricated or exaggerated credentials,No fabricated or exaggerated credentials in the bio or the schema.,Encoding invented degrees/licences in bios or schema.,Credentials must be real and verifiable.,High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-018,experience,c2i0,First-hand experience shown in a model-native form,Content shows genuine first-hand experience in a form native to the model. (original benchmarks/screenshots for tech/SaaS; project or before-after media for trades/DTC; first-party data/methodology for publishers/research; real client outcomes/case studies for B2B/agency.),"Generic, rewritten-from-the-internet content any site could publish.",Experience is the human quality that verifies expertise : surface it.,High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-019,experience,c2i1,Proof of doing the work is visible,"Proof of doing the work is visible, not just claimed: data, artifacts, media, a ‘how we test / how we know’ methodology page.",Claiming expertise with zero demonstrable proof.,"Show, don't just claim, experience.",Medium,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-020,experience,c2i2,Expertise woven in + a single author box,Expertise woven into the topic sections + a single author box : not a bolted-on ‘from the founder’ section that breaks the heading flow.,Double-counting authorship (bio section AND author box); a person/voice heading breaking the outline.,Declare authorship once; let the body READ expert.,Medium,llm-judgment,Interpretation,SRC-PRACTITIONER
EEAT-021,experience,c2i3,Don't write outside real experience for traffic,"Not publishing on topics with no real experience just for traffic : or if unavoidable, back it with a credentialed reviewer + primary sources.",Chasing a niche with no expertise purely for traffic.,"Enter a topic to add real value, not for search volume alone.",High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-022,expertise,c3i0,Credentialed reviewer on YMYL / regulated content,"YMYL / regulated content carries a credentialed reviewer matched to the field. (health: MD/RD/pharmacist; finance: CFP/CPA/CFA; legal: licensed attorney; engineering/trades: PE/licensed pro.) “Reviewed by [Name, credential]” + reviewer page.",Health / safety / financial claims with no qualified reviewer.,P0 for YMYL : a credentialed reviewer is the single biggest trust unlock.,Critical,llm-judgment,Standard,SRC-GOOGLE-QRG
EEAT-023,expertise,c3i1,Reviewer page + Person schema,"Reviewer page + Person schema (credentials, license #, sameAs).",A 'reviewed by' line with no verifiable reviewer behind it.,"The reviewer must be a resolvable, credentialed entity.",High,deterministic,Standard,SRC-SCHEMAORG
EEAT-024,expertise,c3i2,Two-author model where the doer isn't credentialed,Two-author model where the doer isn’t formally credentialed: experienced author + credentialed reviewer.,Relying on an experienced-but-uncredentialed author alone on medical/financial claims.,Experience + credential together clear the YMYL bar.,High,llm-judgment,Interpretation,SRC-PRACTITIONER
EEAT-025,expertise,c3i3,"Authoritative, field-appropriate sources cited","Authoritative, field-appropriate sources cited. (regulators, standards bodies, peer-reviewed research, official documentation, primary data : not just your own claims.)","Citing nothing, or only yourself, on YMYL claims.",Cite gold-standard sources on consequential claims.,High,llm-judgment,Standard,SRC-GOOGLE-QRG
EEAT-026,expertise,c3i4,Don't over-engineer non-YMYL pages,"For non-YMYL topics, a formal reviewer is optional : depth, accuracy and first-hand experience carry it. Don’t over-engineer low-stakes pages.","Bolting a 'medically reviewed' block onto a fun, low-stakes post.",Match the trust investment to the stakes.,Medium,llm-judgment,Interpretation,SRC-PRACTITIONER
EEAT-027,authoritativeness,c4i0,Earn brand/author mentions from respected outlets,Brand + author mentions/links earned from respected outlets in your field. (trade press &amp; industry analysts; local press for local; dev communities for tech; academic/citation for research.),Assuming on-site claims of authority are enough.,Authority is earned off-domain; PR is the strongest lever.,High,llm-judgment,Standard,SRC-GOOGLE-QRG
EEAT-028,authoritativeness,c4i1,Structured-entity foundation (Wikidata),Structured-entity foundation: Wikidata for brand/author; Wikipedia only if genuinely notable; knowledge-panel groundwork.,Creating a Wikipedia page without genuine notability (it gets removed).,Give Google structured facts to build an entity / knowledge panel.,Medium,deterministic,Interpretation,SRC-PRACTITIONER
EEAT-029,authoritativeness,c4i2,Cited in authoritative references,"Cited in authoritative references for the model: round-ups, comparison/analyst sites, ‘best’ lists, expert or scholarly references.",No presence in the references your audience already trusts.,Third-party citations corroborate authority.,Medium,llm-judgment,Standard,SRC-GOOGLE-QRG
EEAT-030,authoritativeness,c4i3,Consistent identity across the web,Consistent identity across the web (NAP for local; org name / handles / sameAs for online-only).,Divergent names/addresses/bios across profiles and directories.,Consistency lets Google merge you into one entity.,Medium,llm-judgment,Standard,SRC-PATENT-CONTRIBUTOR-AUTH
EEAT-031,authoritativeness,c4i4,No bought or spammy links / paid reviews,"No bought or spammy links, paid reviews, or private blog networks.",Purchasing links or reviews to fake authority.,Never buy the signals : it's the opposite of the trust you're building.,Avoid,llm-judgment,Standard,SRC-GOOGLE-SPAM
EEAT-032,helpful-content,c5i0,Passes Who / How / Why,"Passes Who / How / Why: named author (Who), AI/automation disclosed when used (How), made primarily to help people (Why).",Content made primarily to rank; undisclosed automation.,People-first intent is the foundation E-E-A-T sits on.,High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-033,helpful-content,c5i1,First-hand expertise + depth; the goal is achieved,Demonstrates first-hand expertise + depth; the reader leaves having achieved their goal and had a satisfying experience.,Thin content that ranks but leaves the reader unsatisfied.,"Satisfy the searcher's actual goal, not just the keyword.",High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-034,helpful-content,c5i2,Clear purpose; real added value; scale care not just volume,"Clear site purpose/focus; adds real value beyond what’s already out there; sources cited. If you scale content, scale the care, not just the volume.",Manufacturer-copy product pages; keyword-doorway 'docs'; undisclosed affiliate reviews.,"If you scale content, scale the CARE, not just the volume.",Medium,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-035,helpful-content,c5i3,Clear purpose; real added value; scale care not just volume,"Model-specific value in place. (ecom: unique product content, not manufacturer copy; SaaS: docs that solve the task, not keyword pages; affiliate/publisher: independent testing + clear affiliate disclosure.)",Manufacturer-copy product pages; keyword-doorway 'docs'; undisclosed affiliate reviews.,"If you scale content, scale the CARE, not just the volume.",Medium,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-036,helpful-content,c5i4,Avoid search-engine-first / scaled patterns,"Not mass-producing across many topics, or using extensive automation to churn content, hoping some ranks.",Faking dateModified; templating hundreds of near-duplicate pages.,Avoid the exact patterns Google names as search-engine-first.,Avoid,llm-judgment,Standard,SRC-GOOGLE-SPAM
EEAT-037,helpful-content,c5i5,Avoid search-engine-first / scaled patterns,Not merely summarising others without added value; not chasing trends outside your expertise; not changing dates to fake freshness; not scaling thin templated pages.,Faking dateModified; templating hundreds of near-duplicate pages.,Avoid the exact patterns Google names as search-engine-first.,Avoid,llm-judgment,Standard,SRC-GOOGLE-SPAM
EEAT-038,schema,c6i0,Article/BlogPosting with author = Person,Article/BlogPosting with author = Person.,"author as a string/Organization only, or absent.",Tie every article to a Person author.,High,deterministic,Standard,SRC-SCHEMAORG
EEAT-039,schema,c6i1,"Person schema for author AND reviewer, each with sameAs","Person schema for the author AND the reviewer, each with sameAs.",Reviewer named on the page but missing from schema.,"The reviewer is an entity too, not just on-page text.",High,deterministic,Standard,SRC-SCHEMAORG
EEAT-040,schema,c6i2,"Model-appropriate schema, truthful only","Model-appropriate schema, truthful only. (ecom: Product + Review/AggregateRating from real data; SaaS: SoftwareApplication; local: Organization + LocalBusiness; HowTo/FAQPage where genuinely supported.)",Fabricated Review/Rating; schema that mismatches the visible page.,Only mark up what's genuinely on the page.,Medium,deterministic,Standard,SRC-SCHEMAORG
EEAT-041,schema,c6i3,Accurate datePublished + dateModified,Accurate datePublished + dateModified (never faked).,Bumping dateModified to fake freshness.,Dates must be truthful.,Medium,deterministic,Standard,SRC-SCHEMAORG
EEAT-042,schema,c6i4,about / mentions tie content to topic + brand entity,about / mentions tie the content to the topic + the brand entity.,No entity linking; orphaned content.,Reinforce the entity graph.,Medium,deterministic,Standard,SRC-SCHEMAORG
