tag,category,semantic_purpose,common_use_cases,generic_or_legacy_pattern,improvement_over_generic,accessibility_effect,seo_effect,seo_confidence,constraints,example_html
figcaption,grouping,Caption or legend for its parent figure.,Chart caption; image explanation; code-sample label.,"p class=""caption""",Creates a native relationship to the entire figure.,Adds visible context but is not a substitute for image alternative text.,Provides nearby descriptive context that search systems may process; no ranking guarantee.,supported-indirect,Must be inside figure and should be first or last child.,"<figure><figcaption>Map of service areas</figcaption><img src=""map.png"" alt=""...""></figure>"
details,interactive,Native disclosure widget whose additional content may be expanded or collapsed.,FAQ answer; specifications; optional explanation; disclosure panel.,div plus JavaScript accordion,"Supplies built-in state, activation, and keyboard behavior with less custom scripting.",Native disclosure semantics and focus behavior reduce custom-widget failure risk.,Collapsed content remains in the DOM; indexing or ranking treatment is not guaranteed by the element.,supported-indirect,Use summary as the label; test browser and assistive-technology behavior.,<details><summary>Warranty</summary><p>Coverage details...</p></details>
summary,interactive,Visible label and activation control for a parent details element.,FAQ question; disclosure title.,"div class=""accordion-title""",Creates the native interactive label for details.,Keyboard-operable control semantics are supplied by the browser.,No direct SEO effect established.,supported-indirect,Must be the first summary child of details to act as its summary.,<details><summary>What is covered?</summary><p>...</p></details>
dialog,interactive,A dialog box or other interactive component presented over or apart from the page flow.,Modal confirmation; settings panel; non-modal dialog.,"div role=""dialog"" plus custom scripting",Native dialog API supports modal display and focus-management primitives.,Correct use improves focus containment and dialog announcement; accessible naming remains required.,No direct SEO benefit; hidden modal content should not carry essential primary-page information.,supported-indirect,Supply an accessible name; use showModal() for modal behavior; do not misuse for ordinary layout.,"<dialog aria-labelledby=""d-title""><h2 id=""d-title"">Confirm</h2></dialog>"
h1-h6,heading,Headings that identify sections and communicate rank.,Page title; major section; nested subsection.,styled div or p,Creates a programmatic heading hierarchy independent of visual styling.,Screen-reader users navigate and scan by headings.,"Google documents headings as useful signals for understanding page structure and title-link context, but mechanical level rules do not guarantee rank.",confirmed,"Choose levels by hierarchy, not font size; do not leave headings empty.",<h1>Primary topic</h1><h2>Subtopic</h2>
p,grouping,A paragraph of text.,Explanatory prose; answer text; description.,div with text and line breaks,Exposes paragraph boundaries rather than visual spacing only.,Supports coherent reading units.,No independent ranking effect; correct text structure improves parsing and maintenance.,supported-indirect,Do not place flow-content blocks inside p.,<p>A complete paragraph.</p>
ul,list,An unordered list of items.,Feature list; related resources; non-sequential steps.,div rows with bullets added by CSS,Exposes list membership and item count.,Screen readers announce list structure.,No direct ranking boost; makes enumerated content explicit.,supported-indirect,"Children are li elements, apart from script-supporting elements.",<ul><li>Repair</li><li>Installation</li></ul>
ol,list,An ordered list whose sequence matters.,Instructions; rankings; legal steps; chronology.,numbered div rows,Exposes order and list-item relationships.,Screen readers announce ordered-list structure and count.,No direct ranking boost; clarifies procedural or ranked relationships.,supported-indirect,"Use reversed, start, and value only when their numeric meaning is intended.",<ol><li>Inspect</li><li>Repair</li></ol>
dl,list,An association list made of term/name groups and their descriptions/values.,Glossary; metadata; specifications; question-answer pairs where term-description semantics fit.,two-column div grid,Creates explicit term-description relationships.,Assistive support varies in announcement detail but relationships remain native HTML.,No direct ranking effect; improves machine-readable association.,supported-indirect,Use dt and dd groups; not merely for visual indentation.,<dl><dt>License</dt><dd>CFC...</dd></dl>
blockquote,quotation,A section quoted from another source.,Long testimonial excerpt; cited passage.,indented div,Marks quotation semantics without relying on indentation.,Conveys quoted-block meaning.,No direct rank effect; cite attribute is not normally displayed and does not replace a visible source link.,supported-indirect,Use cite attribute only for a source URL; add visible attribution separately.,"<blockquote cite=""https://example.com/source""><p>Quoted text.</p></blockquote>"
q,quotation,A short inline quotation.,Quoted phrase inside a sentence.,span with typed quotation marks,Marks the phrase as quoted while user agents handle punctuation.,Conveys inline quotation semantics.,No direct SEO effect.,supported-indirect,Do not add quotation marks solely through text when q supplies them; cite may hold a source URL.,<p>The report calls it <q>effective</q>.</p>
cite,text-level,The title of a creative work.,Book; article; film; research paper title.,italic span,Identifies a work title rather than merely styling text.,Conveys work-title meaning; default italics are presentation only.,No direct SEO effect.,supported-indirect,Not intended for a person name under the HTML standard.,<cite>HTML Living Standard</cite>
em,text-level,Stress emphasis that changes sentence meaning.,Contrastive stress; verbal emphasis.,i or italic span,Encodes stress rather than appearance.,May alter spoken emphasis depending on assistive technology.,No proven keyword-weighting benefit.,supported-indirect,Use CSS for italics without stress; nesting increases emphasis level.,<p>You must submit it <em>today</em>.</p>
strong,text-level,"Strong importance, seriousness, or urgency.",Warning; critical instruction; important phrase.,b or bold span,Encodes importance rather than appearance.,"May expose importance, though screen-reader voicing varies.",No proven keyword-weighting benefit.,supported-indirect,Use b or CSS when only visual offset is intended.,<strong>Shut off the water first.</strong>
mark,text-level,Text marked as relevant in the current context.,Search-result match; referenced passage; review highlight.,"span class=""highlight""",Encodes contextual relevance rather than yellow background.,Color alone must not be the sole cue; announcement support varies.,No direct ranking effect; it is not an SEO keyword-highlighting mechanism.,supported-indirect,Do not use merely for decorative highlighting or general importance.,<p>Match: <mark>semantic HTML</mark></p>
time,text-level,"A machine-readable date, time, time-zone offset, or duration.",Publication date; event time; opening duration.,"span class=""date""",The datetime attribute disambiguates human date formats.,Supports unambiguous programmatic interpretation.,"May help systems parse dates, but does not replace structured data required for search features.",supported-indirect,datetime must use a valid HTML date/time or duration syntax.,"<time datetime=""2026-07-16"">16 July 2026</time>"
data,text-level,Human-readable content paired with a machine-readable value.,Product identifier; internal code; machine value for a label.,"span data-value=""...""",Uses a standard value attribute for machine-readable equivalence.,Limited direct accessibility effect; visible label remains necessary.,No direct SEO effect; does not replace structured data vocabulary.,supported-indirect,Use time instead when the value is a date or time.,"<data value=""SKU-42"">Blue model</data>"
abbr,text-level,"An abbreviation or acronym, optionally with its expansion.",Technical acronym; shortened organization name.,"span title=""...""",Marks abbreviated text and may provide its expansion.,Title-only expansions are not reliably accessible; provide visible expansion when important.,"May clarify language processing, but no direct ranking boost is documented.",supported-indirect,Do not rely solely on title for essential information.,"<abbr title=""Search Engine Optimization"">SEO</abbr>"
dfn,text-level,The defining instance of a term.,Glossary definition; first formal definition.,bold or italic span,Identifies where a term is being defined.,Provides semantic definition context.,No direct SEO effect established.,supported-indirect,"The nearest paragraph, dt/dd group, or section should contain the definition.",<p><dfn>Semantic HTML</dfn> is meaning-based markup.</p>
code,text-level,A fragment of computer code.,HTML tag; command; function name.,monospace span,Identifies code independent of font choice.,Screen readers may not announce punctuation adequately; explanatory prose may still be needed.,No direct SEO effect.,supported-indirect,Use pre with code for preformatted blocks.,<code>&lt;main&gt;</code>
button,form-interactive,An actionable button.,Submit; expand; open dialog; run command.,div or span with click handler,"Provides keyboard activation, focusability, role, disabled state, and form behavior natively.",Major accessibility gain over scripted generic containers.,No direct ranking effect; improves usable interaction and crawl-independent page quality.,supported-indirect,Set type explicitly in forms; give an accessible name.,"<button type=""button"">Open filters</button>"
a,link-interactive,A hyperlink to a URL or document location.,Internal link; external citation; email or telephone link.,clickable div,"Creates native link semantics, focus behavior, URL handling, and crawlable relationships when href is present.",Keyboard and screen-reader link navigation work natively.,Google explicitly uses crawlable links and anchor text to discover pages and understand linked content.,confirmed,Use href for hyperlinks; buttons are for actions that do not navigate.,"<a href=""/semantic-html"">Semantic HTML guide</a>"
label,form,A caption associated with a form control.,Input name; checkbox label; select label.,adjacent span,Creates a programmatic name relationship and a larger activation target.,Essential for control identification and speech/assistive input.,No direct SEO effect.,supported-indirect,Associate with for/id or by nesting; placeholder is not a label replacement.,"<label for=""email"">Email</label><input id=""email"" type=""email"">"
table,tabular,Data with relationships across rows and columns.,Pricing matrix; specifications; comparison; report data.,CSS grid or nested divs,"Creates native row, column, header, caption, and cell relationships.",Correct th/scope/caption markup supports table navigation and comprehension.,May clarify data relationships; no rich-result eligibility follows from table markup alone.,supported-indirect,Do not use for page layout. Use caption and header cells where needed.,<table><caption>Plans</caption><tr><th>Plan</th><th>Price</th></tr></table>
form,form,Groups interactive controls into a single submittable unit tied to one user action.,"Search boxes, sign-up and login forms, checkout flows, contact forms, on-page filters.",div wrapper with a JS click handler simulating submission,"Provides native submission, keyboard Enter-to-submit, and built-in validation; only exposes a form or search landmark role when it has an accessible name.",Exposed as a form (or search) landmark to assistive tech only when labelled with aria-label or aria-labelledby; unlabelled forms are not distinguishable from each other in landmark navigation.,No direct ranking effect; a labelled form clarifies page purpose (e.g. distinguishing a search form from a contact form) for automated interpretation.,supported-indirect,Needs an accessible name to register as a landmark (SEM-006); avoid nesting one form inside another.,"<form role=""search""><label for=""q"">Search</label><input id=""q"" name=""q"" type=""search""></form>"
img,embedded,"Embeds an image and, through the alt attribute, supplies a text alternative that stands in for the image's meaning.","Product photography, illustrative diagrams and charts, logos, purely decorative graphics (alt="""").",CSS background-image applied to a div,alt text is exposed to screen readers and image-search crawlers; a CSS background-image carries no accessible name or indexable text alternative.,"alt is the image's accessible name; an empty alt="""" correctly hides purely decorative images from assistive technology instead of announcing a meaningless filename.",alt text is a confirmed input to Google Image Search relevance and a documented accessibility requirement; it is not established as a general web-ranking factor on its own.,supported-indirect,Always set alt (empty string for decorative images); do not keyword-stuff alt text.,"<img src=""chart.png"" alt=""Quarterly revenue grew 12% year over year"">"
li,list-item,"Represents one item within an ordered, unordered, or menu list.","Navigation links, numbered steps, product feature lists, search result entries.",div per row inside a div acting as a fake list,"Only valid as a child of ul, ol, or menu, so the browser exposes real list semantics (item count and position) that a div-per-row structure cannot.","Announced by screen readers with position and set size (for example ""item 2 of 5"") only when correctly nested inside ul or ol.","No independent ranking effect; correctly marked-up list items make enumerable content (steps, features) easier for automated systems to extract for rich results.",unverified,"Must be a direct child of ul, ol, or menu; not valid on its own.",<ul><li>Step one</li><li>Step two</li></ul>
pre,grouping,"Preserves whitespace and line breaks exactly as authored, for content where formatting is part of the meaning.","Code snippets (paired with code), ASCII art, terminal or console output.",div styled with white-space:pre-wrap and manual br tags,"Whitespace preservation is a guaranteed content-level behavior, not a styling choice that silently breaks if CSS fails to load.",Screen readers can read preserved line breaks and spacing; pairing pre with code clarifies that the content is source code rather than prose.,No independent ranking effect; correctly marked-up code samples stay crawlable as real text instead of being rendered only through CSS or canvas tricks.,unverified,Pair with code for source code; content inside is whitespace-significant.,"<pre><code>function greet() { return ""hi""; }</code></pre>"
