new_id,dimension,origin_engine,original_id,category,original_severity,status
ACC-0033,completeness,B-visual-semantics,NAV-004,Breadcrumbs,Medium,active
ACC-0034,accessibility,B-visual-semantics,HEAD-001,Headings,High,active
ACC-0035,accessibility,B-visual-semantics,HEAD-002,Headings,Medium,merged_into:ACC-0007
ACC-0036,accessibility,B-visual-semantics,REG-001,Regions,Medium,merged_into:ACC-0003
ACC-0037,completeness,B-visual-semantics,ORDER-001,Reading order,High,active
ACC-0038,completeness,B-visual-semantics,TASK-001,Primary task,High,active
ACC-0039,completeness,B-visual-semantics,TASK-002,Primary task,Medium,active
ACC-0040,accessibility,B-visual-semantics,LINK-001,Links,Medium,active
ACC-0041,completeness,B-visual-semantics,BTN-001,Buttons,High,active
ACC-0042,accessibility,B-visual-semantics,ARIA-001,ARIA,High,merged_into:ACC-0014
ACC-0043,accessibility,B-visual-semantics,ARIA-002,ARIA,High,active
ACC-0044,accessibility,B-visual-semantics,FORM-001,Forms,High,active
ACC-0045,accessibility,B-visual-semantics,FORM-002,Forms,Medium,active
ACC-0046,accessibility,B-visual-semantics,FORM-003,Forms,High,active
ACC-0047,accessibility,B-visual-semantics,FORM-004,Forms,High,active
ACC-0048,completeness,B-visual-semantics,IMG-001,Images,Medium,active
ACC-0049,completeness,B-visual-semantics,IMG-002,Images,Low,active
ACC-0050,accessibility,B-visual-semantics,FIG-001,Figures,Medium,merged_into:ACC-0008
ACC-0051,accessibility,B-visual-semantics,FIG-002,Figures,High,active
ACC-0052,accessibility,B-visual-semantics,TABLE-001,Tables,High,active
ACC-0053,accessibility,B-visual-semantics,LIST-001,Lists,Low,active
ACC-0054,completeness,B-visual-semantics,BOIL-001,Boilerplate,Medium,active
ACC-0055,completeness,B-visual-semantics,REL-001,Related content,Low,active
ACC-0056,completeness,B-visual-semantics,EVID-001,Evidence,High,active
ACC-0057,completeness,B-visual-semantics,EVID-002,Consistency,High,active
ACC-0058,completeness,B-visual-semantics,SCHEMA-001,Structured data,High,active
ACC-0059,completeness,B-visual-semantics,RESP-001,Responsive,High,active
ACC-0060,completeness,B-visual-semantics,DYN-001,Dynamic content,High,active
ACC-0061,completeness,B-visual-semantics,PERF-001,Performance,Medium,active
ACC-0062,completeness,B-visual-semantics,ART-001,Article,Medium,active
ACC-0063,completeness,B-visual-semantics,ART-002,Article,Medium,active
ACC-0064,completeness,B-visual-semantics,SERV-001,Service,High,active
ACC-0065,completeness,B-visual-semantics,SERV-002,Service,High,active
ACC-0066,completeness,B-visual-semantics,LOCAL-001,Local service,High,active
ACC-0067,completeness,B-visual-semantics,PROD-001,Product,High,active
ACC-0068,completeness,B-visual-semantics,CAT-001,Category,High,active
ACC-0069,completeness,B-visual-semantics,COMP-001,Comparison,High,active
ACC-0070,completeness,B-visual-semantics,TOOL-001,Tool,Critical,active
ACC-0071,completeness,B-visual-semantics,DIR-001,Directory,High,active
ACC-0072,completeness,B-visual-semantics,HOME-001,Homepage,High,active
ACC-0073,completeness,B-visual-semantics,CONTACT-001,Contact,High,active
ACC-0074,completeness,B-visual-semantics,FAQ-001,FAQ,Medium,active
ACC-0075,completeness,B-visual-semantics,UGC-001,Review or forum,High,active
ACC-0076,completeness,B-visual-semantics,TEST-001,Reporting,High,active
ACC-0077,completeness,B-visual-semantics,HYP-001,Reporting,High,active
ACC-0078,completeness,NEW-gap-domcount,,PERF-DOM,Medium,active
ACC-0079,completeness,NEW-gap-domcount,,PERF-DOM,Low,active
ACC-0080,accessibility,NEW-gap-htmlaria,,ARIA,High,active
